,Год_сдачи,Название_квартала,Цена,Компания,Адрес,Класс_недвижимости,Площадь,Конструкция,Мин_цена,Макс_цена,Мин_площадь,Макс_площадь,Средняя_цена
218,БУДЕТ СДАН В 2023,"ЖК «Светлый», г. Екатеринбург","[1770000, 3029000]",TEN,г. Екатеринбург Микрорайон Светлый,Комфорт класс,от 28 до 83 м2,Монолитный,1770000,3029000,28,83,2399500.0
219,СДАН В 2015,"Новостройка на ул. Новгородцевой, г. Екатеринбург",Продано,АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург Новгородцевой ул 23,Эконом класс,от 37 до 58 м2,Монолитно-кирпичный,0,0,37,58,0.0
220,СДАН В 2017,"ЖК «Авангард», Кировский р-н, г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург Ирбитская ул. / Раевского ул. 4, 4А, 4Б, 6, 6А, 8",Комфорт класс,от 46 до 122 м2,Монолитный,0,0,46,122,0.0
221,СДАН В 2014,"ЖК «На Красных Героев», г. Березовский",Продано,Брусника,г. Березовский ул. Красных Героев 18,Комфорт класс,от 35 до 73 м2,Монолитный,0,0,35,73,0.0
222,БУДЕТ СДАН В 2025,"ЖК «Балтым-Парк», г. Верхняя Пышма","[2975260, 6540000]",АО «ЮИТ Санкт-Петербург»,г. Верхняя Пышма ул. Васильковая 4,Комфорт класс,от 38 до 85 м2,Монолитный,2975260,6540000,38,85,4757630.0
223,СДАН В 2019,"ЖК «Восход», г. Екатеринбург","[2500000, 7100000]",Группа ЛСР (LSR),г. Екатеринбург ул. 40-летия Комсомола 24,Эконом класс,от 26 до 72 м2,Монолитный,2500000,7100000,26,72,4800000.0
224,СДАН В 2020,"ЖК «Бриз», г. Екатеринбург","[5070000, 9500000]",АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург ул. Ирбитская 11, 11/3, 13",Комфорт класс,от 45 до 125 м2,Монолитный,5070000,9500000,45,125,7285000.0
225,СДАН В 2016,"ЖК «Центральный парк», г. Березовский","[2230000, 7500000]",ГК «АктивСтройСервис»,г. Березовский ул. Восточная 7,Эконом класс,от 32 до 92 м2,Монолитный,2230000,7500000,32,92,4865000.0
226,СДАН В 2018,"ЖК «Рябина-парк», г. Березовский","[1470000, 2350000]",ГК «АктивСтройСервис»,г. Березовский ул. Новая 20,Эконом класс,от 22 до 45 м2,Монолитный,1470000,2350000,22,45,1910000.0
227,СДАН В 2020,"ЖК «Сказка», г. Екатеринбург","[5370000, 7007000]",TEN,г. Екатеринбург ул. Новгородцевой,Комфорт класс,от 37 до 89 м2,Монолитный,5370000,7007000,37,89,6188500.0
228,СДАН В 2016,"ЖК «Новый Дом», Кировский р-н, г. Екатеринбург",Продано,ARK Development,г. Екатеринбург ул. Новгородцевой 13,Комфорт класс,от 35 до 96 м2,Монолитный,0,0,35,96,0.0
229,СДАН В 2020,"ЖК «Новая Жизнь-Победа», пгт Верхнее Дуброво","[958000, 1680000]",ЖСК «Новая Жизнь – Победа!»,Белоярский р-н рп Верхнее Дуброво ул. Уральская,Эконом класс,от 19 до 50 м2,Блочный,958000,1680000,19,50,1319000.0
230,СДАН В 2017,"ЖК «Стрижи», г. Арамиль","[2550000, 4000000]",ООО СК «СУ-22»,Сысертский р-н г. Арамиль ул. Мира 1Б,Комфорт класс,от 31 до 91 м2,Монолитно-кирпичный,2550000,4000000,31,91,3275000.0
231,БУДЕТ СДАН В 2023,"ЖК «Парк Каменные Палатки», г. Екатеринбург","[4296660, 13687300]",ГК «Астра»,г. Екатеринбург ул. Владимира Высоцкого,Комфорт класс,от 37 до 121 м2,Монолитно-кирпичный,4296660,13687300,37,121,8991980.0
232,СДАН В 2018,"ЖК «Альпы», г. Екатеринбург",Продано,ГК «Астра»,г. Екатеринбург ул Инженерная 61,Комфорт класс,от 30 до 86 м2,Монолитно-кирпичный,0,0,30,86,0.0
233,СДАН В 2015,"ЖК «Спутник», г. Екатеринбург","[1950000, 3750000]",ГК «Астра»,г. Екатеринбург ул. Бахчиванджи 22А,Комфорт класс,от 25 до 78 м2,Монолитно-каркасный,1950000,3750000,25,78,2850000.0
234,СДАН В 2018,"ЖК «Гелиос», г. Заречный","[1821030, 3333360]",ГК «Солнечный дом»,г. Заречный ул. Победы 7,Эконом класс,от 29 до 75 м2,Монолитно-кирпичный,1821030,3333360,29,75,2577195.0
235,БУДЕТ СДАН В 2021,"ЖК «Театральный», г. Березовский","[2210000, 5200000]",ГК «АктивСтройСервис»,г. Березовский ул. Восточная 11,Комфорт класс,от 27 до 85 м2,Монолитно-кирпичный,2210000,5200000,27,85,3705000.0
236,СДАН В 2019,"ЖК «Квартал Энтузиастов», г. Екатеринбург",[6730000],АТОМСТРОЙКОМПЛЕКС,"г. Екатеринбург пер. Замятина 22, 24",Комфорт класс,от 27 до 102 м2,Монолитный,6730000,0,27,102,6730000.0
237,СДАН В 2020,"ЖК «Даниловский», г. Екатеринбург","[3570000, 7588000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул Данилы Зверева 17а,Комфорт класс,от 40 до 102 м2,Монолитно-кирпичный,3570000,7588000,40,102,5579000.0
238,БУДЕТ СДАН В 2022,"Парк-комплекс «Шолохов», г. Екатеринбург","[3729440, 4778640]",ГК «Астра»,г. Екатеринбург ул Шолохова,Комфорт класс,от 35 до 73 м2,Монолитный,3729440,4778640,35,73,4254040.0
239,БУДЕТ СДАН В 2022,"ЖК «Малахит», г. Екатеринбург","[1953000, 5207200]",АО «ЛСР. Недвижимость-Урал»,г. Екатеринбург ул. 40-летия Комсомола,Эконом класс,от 20 до 56 м2,Панельный,1953000,5207200,20,56,3580100.0
